Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Year,Month,Avg Price(CP+HP+LP),VWAP,Profit/Loss Percentage,Day_Perc_Change,trend
2019-04-16,1863.04,"1,851.35",1869.77,1848.0,3040000.0,2019,4,1860.2699999999998,1860.2699999999998,0.009848932445104572,-0.0009545157173346253,Slight or no change
2019-04-15,1844.87,"1,842.00",1846.85,1818.9,3720000.0,2019,4,1836.8733333333332,1836.8733333333332,0.0009820624396383979,-0.009752877018206818,Slight or no change
2019-04-12,1843.06,"1,848.40",1851.5,1841.3,3110000.0,2019,4,1845.2866666666666,1845.2866666666666,-0.0005477015514595383,-0.0009810989392206038,Slight or no change
2019-04-11,1844.07,"1,848.70",1849.95,1840.31,2650000.0,2019,4,1844.7766666666666,1844.7766666666669,-0.0017647090665988162,0.0005480016928369746,Slight or no change
2019-04-10,1847.33,"1,841.00",1848.0,1828.81,2960000.0,2019,4,1841.3799999999999,1841.38,0.006258715356458084,0.0017678287700575446,Slight or no change
2019-04-09,1835.84,"1,845.49",1853.09,1831.78,3710000.0,2019,4,1840.2366666666667,1840.2366666666667,-0.00757895192068588,-0.0062197874770615336,Slight or no change
2019-04-08,1849.86,"1,833.23",1850.2,1825.11,3750000.0,2019,4,1841.7233333333334,1841.7233333333334,0.006847078289645523,0.007636831096391905,Slight or no change
2019-04-05,1837.28,"1,829.00",1838.58,1825.19,3640000.0,2019,4,1833.6833333333332,1833.6833333333332,0.010127222545990387,-0.0068005146335398114,Slight or no change
2019-04-04,1818.86,"1,820.65",1828.75,1804.2,3620000.0,2019,4,1817.2699999999998,1817.2699999999998,-0.001010600318558876,-0.010025690150657574,Slight or no change
2019-04-03,1820.7,"1,826.72",1830.0,1809.62,3980000.0,2019,4,1820.1066666666666,1820.1066666666666,0.0037045612410280307,0.0010116226647460813,Slight or no change
2019-04-02,1813.98,"1,811.02",1820.0,1805.12,3450000.0,2019,4,1813.0333333333335,1813.0333333333335,-0.00011575413821046108,-0.0036908881199538834,Slight or no change
2019-04-01,1814.19,"1,800.11",1815.67,1798.73,4240000.0,2019,4,1809.53,1809.53,0.018778604520567208,0.00011576753878217438,Slight or no change
2019-03-29,1780.75,"1,786.58",1792.86,1776.63,3320000.0,2019,3,1783.4133333333332,1783.4133333333332,0.004133256645351878,-0.01843246848455793,Slight or no change
2019-03-28,1773.42,"1,770.00",1777.93,1753.47,3040000.0,2019,3,1768.2733333333335,1768.2733333333335,0.004372203658605667,-0.004116243155973587,Slight or no change
2019-03-27,1765.7,"1,784.13",1787.5,1745.68,4320000.0,2019,3,1766.2933333333333,1766.2933333333333,-0.010124680450284761,-0.004353170709702203,Slight or no change
2019-03-26,1783.76,"1,793.00",1805.77,1773.36,4870000.0,2019,3,1787.6299999999999,1787.63,0.005354344909990644,0.010228238092541142,Slight or no change
2019-03-25,1774.26,"1,757.79",1782.68,1747.5,5100000.0,2019,3,1768.1466666666668,1768.1466666666668,0.005377471285209976,-0.0053258285868054145,Slight or no change
2019-03-22,1764.77,"1,810.17",1818.98,1763.11,6360000.0,2019,3,1782.2866666666666,1782.2866666666666,-0.029951738618998937,-0.005348708757453857,Slight or no change
